,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_type,policy_level
0,Washington,No,1,Bachelor,Employed,F,Suburban,Married,1,Agent,Two-Door Car,2,C,3
1,Arizona,No,2,Bachelor,Unemployed,F,Suburban,Single,3,Agent,Four-Door Car,2,P,3
2,Nevada,No,3,Bachelor,Employed,F,Suburban,Married,1,Agent,Two-Door Car,2,P,3
3,California,No,1,Bachelor,Unemployed,M,Suburban,Married,1,Call Center,SUV,2,C,2
4,Washington,No,1,Bachelor,Employed,M,Rural,Single,1,Agent,Four-Door Car,2,P,1
5,Oregon,Yes,1,Bachelor,Employed,F,Rural,Married,2,Web,Two-Door Car,2,P,3
6,Oregon,Yes,1,College,Employed,F,Suburban,Married,1,Agent,Four-Door Car,2,C,3
7,Arizona,No,3,Master and Above,Unemployed,M,Urban,Single,1,Agent,Four-Door Car,2,C,3
8,Oregon,Yes,1,Bachelor,Other,M,Suburban,Single,1,Agent,Four-Door Car,2,C,3
9,Oregon,No,2,College,Employed,F,Urban,Married,2,Branch,Four-Door Car,2,S,2
10,California,No,1,College,Unemployed,M,Suburban,Single,1,Agent,Four-Door Car,1,P,3
11,California,No,1,College,Unemployed,F,Suburban,Married,2,Agent,SUV,2,P,3
12,California,No,3,Master and Above,Employed,M,Urban,Married,2,Agent,Four-Door Car,2,C,1
13,Arizona,Yes,1,High School or Below,Employed,M,Suburban,Married,2,Branch,SUV,2,C,3
14,California,No,1,College,Employed,M,Urban,Single,4,Call Center,Four-Door Car,2,C,3
15,Oregon,No,1,Bachelor,Employed,F,Rural,Married,2,Branch,Four-Door Car,2,C,2
16,Nevada,No,1,High School or Below,Other,M,Suburban,Married,2,Call Center,Two-Door Car,2,P,3
17,California,No,1,College,Other,M,Suburban,Married,3,Call Center,SUV,2,P,2
18,Oregon,No,1,College,Employed,M,Urban,Married,2,Branch,Four-Door Car,2,P,2
19,California,No,3,High School or Below,Employed,F,Suburban,Married,1,Call Center,Four-Door Car,1,C,2
20,Oregon,No,1,High School or Below,Employed,M,Suburban,Single,1,Branch,Two-Door Car,2,P,2
21,Washington,No,2,Bachelor,Other,F,Suburban,Single,4,Call Center,Four-Door Car,2,P,3
22,Arizona,Yes,1,Bachelor,Other,M,Suburban,Single,1,Agent,Four-Door Car,2,P,3
23,Nevada,No,1,Bachelor,Unemployed,F,Suburban,Single,1,Branch,Four-Door Car,2,C,3
24,California,No,1,Bachelor,Other,F,Suburban,Married,2,Branch,Four-Door Car,2,C,2
25,Oregon,No,1,College,Employed,M,Suburban,Married,2,Call Center,Four-Door Car,3,P,3
26,California,No,3,Bachelor,Unemployed,F,Suburban,Single,1,Agent,Four-Door Car,1,P,3
27,Washington,No,2,Master and Above,Other,F,Urban,Married,1,Branch,SUV,2,C,1
28,Arizona,No,3,College,Employed,F,Suburban,Single,1,Call Center,Four-Door Car,3,P,3
29,Oregon,No,2,Master and Above,Employed,F,Suburban,Married,2,Branch,Four-Door Car,1,P,3
30,Arizona,No,1,College,Employed,M,Suburban,Married,4,Call Center,Four-Door Car,1,P,2
31,Nevada,No,2,High School or Below,Employed,M,Urban,Married,2,Agent,Luxury Car,2,C,2
32,California,No,1,Bachelor,Unemployed,M,Urban,Married,1,Call Center,Four-Door Car,2,P,3
33,Washington,No,1,Bachelor,Employed,M,Suburban,Married,1,Agent,Two-Door Car,1,C,2
34,Oregon,No,1,Bachelor,Employed,F,Rural,Married,3,Web,Four-Door Car,2,C,1
35,Arizona,No,1,High School or Below,Employed,F,Urban,Married,1,Branch,Four-Door Car,2,P,1
36,California,No,3,Bachelor,Employed,M,Suburban,Married,1,Agent,Four-Door Car,1,P,3
37,Oregon,No,2,Master and Above,Employed,F,Suburban,Married,2,Web,Four-Door Car,1,P,3
38,Oregon,No,2,Bachelor,Unemployed,M,Suburban,Single,3,Agent,Two-Door Car,1,P,2
39,Arizona,No,1,High School or Below,Employed,M,Rural,Single,1,Call Center,Four-Door Car,2,P,3
40,Nevada,No,1,High School or Below,Unemployed,F,Suburban,Married,3,Call Center,Two-Door Car,2,C,3
41,Oregon,Yes,1,College,Employed,F,Rural,Single,2,Agent,Two-Door Car,2,C,3
42,California,Yes,2,Bachelor,Employed,F,Suburban,Married,2,Agent,Four-Door Car,1,P,2
43,Arizona,No,1,High School or Below,Employed,M,Suburban,Married,4,Agent,Luxury Car,2,P,2
44,Washington,No,1,College,Employed,M,Suburban,Married,2,Call Center,Four-Door Car,3,S,2
45,Oregon,No,3,Master and Above,Other,F,Rural,Married,1,Branch,SUV,2,P,2
46,Arizona,No,1,Bachelor,Unemployed,M,Suburban,Single,3,Call Center,Four-Door Car,2,P,3
47,Oregon,No,1,High School or Below,Employed,F,Suburban,Single,4,Agent,Two-Door Car,2,P,2
48,California,No,2,Bachelor,Unemployed,F,Suburban,Married,2,Call Center,Four-Door Car,2,C,2
49,Arizona,No,1,High School or Below,Unemployed,F,Suburban,Married,4,Branch,Four-Door Car,2,P,2
50,Oregon,No,1,College,Employed,M,Suburban,Married,1,Agent,SUV,1,P,2
51,California,Yes,1,Bachelor,Employed,F,Suburban,Single,1,Web,SUV,2,C,1
52,Nevada,No,1,High School or Below,Employed,F,Rural,Married,4,Branch,Four-Door Car,2,S,1
